4evmHXcjt3bTUHD1cvny97,"Beautiful People (feat. Khalid)","Ed Sheeran,Khalid",https://open.spotify.com/track/4evmHXcjt3bTUHD1cvny97,spotify:track:4evmHXcjt3bTUHD1cvny97
0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b
0v5Ukek5WCxydRGymuLs05,"Lights Down Low","Nathan Jackson",https://open.spotify.com/track/0v5Ukek5WCxydRGymuLs05,spotify:track:0v5Ukek5WCxydRGymuLs05
21jGcNKet2qwijlDFuPiPb,Circles,"Post Malone",https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,spotify:track:21jGcNKet2qwijlDFuPiPb
5knuzwU65gJK7IF5yJsuaW,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit,Sean Paul,Anne-Marie",https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,spotify:track:5knuzwU65gJK7IF5yJsuaW
4euxYgIl5XEqUj5WB9lHNq,"The Home Depot Beat","The Home Depot",https://open.spotify.com/track/4euxYgIl5XEqUj5WB9lHNq,spotify:track:4euxYgIl5XEqUj5WB9lHNq
3dM9u1RUeggKN9MkAnLmpi,"Eye of the Tiger",Survivor,https://open.spotify.com/track/3dM9u1RUeggKN9MkAnLmpi,spotify:track:3dM9u1RUeggKN9MkAnLmpi
6zrdI6IczXdkzwYtiBvU0J,"Don't Stop Believin'",Journey,https://open.spotify.com/track/6zrdI6IczXdkzwYtiBvU0J,spotify:track:6zrdI6IczXdkzwYtiBvU0J
3S4px9f4lceWdKf0gWciFu,"Cheap Thrills",Sia,https://open.spotify.com/track/3S4px9f4lceWdKf0gWciFu,spotify:track:3S4px9f4lceWdKf0gWciFu
1fidCEsYlaVE3pHwKCvpFZ,"Am I Wrong","Nico & Vinz",https://open.spotify.com/track/1fidCEsYlaVE3pHwKCvpFZ,spotify:track:1fidCEsYlaVE3pHwKCvpFZ
49ou9vBZLTCi4TYoYzR3F9,"Calabria 2007 (feat. Natasja) - Radio Edit","Enur,Natasja",https://open.spotify.com/track/49ou9vBZLTCi4TYoYzR3F9,spotify:track:49ou9vBZLTCi4TYoYzR3F9
22wRQVOHzHAppfKsDs38nj,"Blue (I'm Blue da Ba Dee)","Cruise Control",https://open.spotify.com/track/22wRQVOHzHAppfKsDs38nj,spotify:track:22wRQVOHzHAppfKsDs38nj
